topic_label,lineage_label,article_author_links,topic_total_article_author_links,percent_within_topic
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Psychometrics, measurement and statistics",21,222,9.46
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",Social representations and institutional context,3,222,1.35
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Sociocultural, dialogic and activity traditions",8,222,3.60
"Group-based school interventions for social‑emotional, behavioural and early cognitive skills","Theoretical, philosophical and historical sources",0,222,0.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",Corporate data and policy sources,11,50,22.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Developmental, family, peer and ecological traditions",4,50,8.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Didactics, classroom knowledge and practices",5,50,10.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Educational policy, sociology and comparative education",1,50,2.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Individual differences, cognition and achievement",0,50,0.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",Interactionist constructivist / social-cognitive,3,50,6.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",Intervention and instructional design,5,50,10.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Motivation, self-regulation and identity",12,50,24.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Psychometrics, measurement and statistics",5,50,10.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",Social representations and institutional context,1,50,2.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Sociocultural, dialogic and activity traditions",3,50,6.00
"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts","Theoretical, philosophical and historical sources",0,50,0.00
