canonical_cited_author,raw_author_variants,n_raw_variants,n_articles_citing_author,n_reference_mentions,author_lineage_code,gilly_alignment,lineage_confidence,lineage_source,lineage_rationale,top_citing_article_gilly_category
J. Cohen,J. Cohen,1,158,177,psychometrics_measurement_statistics,methodological,0.88,seed,"Major source for statistical power, effect size, and quantitative methods.",context_sensitive_educational_psychology
L. S. Vygotsky,L. S. Vygotsky; L. Vygotsky,2,146,206,sociocultural_dialogic_activity,fundamental,0.98,canonical_seed,Canonical merge of Vygotsky citation variants.,fundamental_contextualized_educational_interaction
U. Trautwein,U. Trautwein,1,140,255,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Trautwein’s research on homework, motivational orientations, and self-regulated learning links motivational processes to classroom practices and longitudinal outcomes, aligning him with motivation and self-regulation work attentive to context.",context_sensitive_educational_psychology
O. Ludtke,O. Ludtke,1,135,251,psychometrics_measurement_statistics,methodological,0.6,openai,"Ludtke’s publications often combine measurement (multilevel/SEM) with investigations of classroom effects and teacher beliefs, making measurement and methodological contributions prominent in his profile.",context_sensitive_educational_psychology
J. Piaget,J. Piaget,1,131,218,interactionist_constructivist_social_cognitive,fundamental,0.98,seed,"Core constructivist source for development, knowledge construction, and decentration.",context_sensitive_educational_psychology
T. Goetz,T. Goetz,1,117,329,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Goetz’s work on achievement emotions and the control-value perspective centers affective-motivational processes within instructional contexts, placing him within motivation/self-regulation traditions that pay close attention to classroom situational factors.",context_sensitive_educational_psychology
C. S. Dweck,C. S. Dweck,1,115,303,motivation_self_regulation_identity,applied_mainstream,0.9,seed,"Core source for implicit theories, achievement motivation, and mindset.",context_sensitive_educational_psychology
J. Baumert,J. Baumert,1,115,248,educational_policy_sociology_comparative,policy_context,0.7,openai,"Baumert’s involvement with large-scale assessments (e.g., TIMSS/PISA-related analyses), teacher quality and national comparisons positions him in the comparative/policy-oriented strand of educational research linking system-level indicators to learning.",context_sensitive_educational_psychology
J. Hattie,J. Hattie,1,115,146,didactics_classroom_knowledge_practices,applied_mainstream,0.8,openai,Hattie’s syntheses of teaching effects and emphasis on visible learning and instructional practices situate him in research on classroom pedagogy and teacher-student practice rather than primarily theoretical interactional traditions.,context_sensitive_educational_psychology
B. J. Zimmerman,B. J. Zimmerman,1,114,232,motivation_self_regulation_identity,applied_mainstream,0.9,seed,Major source for self-regulated learning.,context_sensitive_educational_psychology
D. H. Schunk,D. H. Schunk,1,112,184,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Schunk’s social-cognitive research on self-efficacy and self-regulated learning ties motivational mechanisms to instructional contexts, aligning him with motivation/self-regulation traditions applied to classroom settings.",context_sensitive_educational_psychology
C. Midgley,C. Midgley,1,105,179,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Midgley’s foundational work on achievement goals, classroom goal structures and transitions focuses squarely on motivational processes embedded in school contexts, placing her in the motivation/self-regulation lineage with contextual sensitivity.",context_sensitive_educational_psychology
A. J. Elliot,A. J. Elliot,1,104,307,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Elliot is a core figure in achievement goal theory, directly addressing how goal orientations shape motivation and emotion in educational contexts, which is central to the motivation/self-regulation tradition.",context_sensitive_educational_psychology
M. Boekaerts,M. Boekaerts,1,101,174,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Boekaerts’ process-oriented models of self-regulation, coping and embedded instructional supports emphasize learners’ regulation within situational contexts, aligning her with motivation and self-regulation perspectives that engage contextual features.",context_sensitive_educational_psychology
L. Hu,L. Hu,1,100,102,psychometrics_measurement_statistics,methodological,0.95,seed,Major source for SEM fit criteria.,context_sensitive_educational_psychology
W. Schneider,W. Schneider,1,97,323,individual_differences_cognitive_achievement,applied_mainstream,0.8,openai,"Schneider’s work on cognitive strategies, metacognition, and developmental changes in learning strategies links individual cognitive differences and strategy use to achievement, placing him in cognitive/individual-differences traditions applied to education.",context_sensitive_educational_psychology
G. Mugny,G. Mugny,1,94,326,interactionist_constructivist_social_cognitive,fundamental,0.96,seed,Central source for socio-cognitive conflict and interactionist social psychology of development.,fundamental_contextualized_educational_interaction
American Psychological Association,American Psychological Association,1,92,104,corporate_data_policy_source,methodological,0.95,seed,Professional organization and publication/style/methodological reference source.,context_sensitive_educational_psychology
U. Schiefele,U. Schiefele,1,90,176,motivation_self_regulation_identity,bridge_contextual,0.75,openai,Schiefele’s influential research on interest and motivated learning —including situational and person-situation transactional analyses—situates him within motivation and interest research that attends to contextual engagement.,context_sensitive_educational_psychology
R. E. Mayer,R. E. Mayer,1,89,207,intervention_instructional_design,applied_mainstream,0.9,openai,Mayer’s cognitive theory of multimedia learning and design principles for instructional materials place him firmly in the instructional-design tradition focused on creating effective learning environments.,context_sensitive_educational_psychology
O. Koller,O. Koller,1,89,161,psychometrics_measurement_statistics,methodological,0.8,openai,Koller’s multi-sample measurement work on academic self-concept and extensions of frame-of-reference models highlights psychometric and methodological contributions to measuring motivational constructs in education.,context_sensitive_educational_psychology
A.-N. Perret-Clermont,A. N. Perret-Clermont; A. Perret-Clermont,2,87,260,interactionist_constructivist_social_cognitive,fundamental,0.96,canonical_seed,Canonical merge of Anne-Nelly Perret-Clermont citation variants.,fundamental_contextualized_educational_interaction
A. J. Martin,A. J. Martin,1,85,160,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"A. J. Martin’s research on motivation, engagement, and resilience in school contexts focuses on self-regulatory and identity-related processes within classroom and cultural settings, aligning him with motivation/self-regulation traditions.",context_sensitive_educational_psychology
A. L. Brown,A. L. Brown,1,83,132,interactionist_constructivist_social_cognitive,fundamental,0.85,openai,"Ann L. Brown’s work on metacognitive teaching, reciprocal teaching, and cognitive apprenticeship emphasizes social interaction and co-construction of knowledge in authentic educational situations, aligning closely with interactionist/constructivist traditions central to Gilly’s project.",context_sensitive_educational_psychology
B. O. Muthen,B. O. Muthen,1,83,95,psychometrics_measurement_statistics,methodological,0.95,seed,Major source for latent variable modelling and Mplus.,context_sensitive_educational_psychology
A. C. Frenzel,A. C. Frenzel,1,82,176,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Frenzel’s research on teachers’ and students’ achievement emotions integrates affective-motivational constructs with classroom contexts, situating her in the motivation/self-regulation tradition with contextual emphasis.",context_sensitive_educational_psychology
F. Guay,F. Guay,1,82,125,motivation_self_regulation_identity,bridge_contextual,0.8,openai,Guay’s applications of self-determination and motivational models in educational settings (including persistence and interest) place him in the motivation/self-regulation lineage with strong contextual relevance.,context_sensitive_educational_psychology
J. M. Harackiewicz,J. M. Harackiewicz,1,81,154,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Harackiewicz’s program of research on achievement motivation, situational interest interventions, and goal processes situates him within motivation and identity research applied to classroom and instructional contexts.",context_sensitive_educational_psychology
U. Bronfenbrenner,U. Bronfenbrenner,1,80,110,developmental_family_peer_ecological,fundamental,0.85,openai,"Bronfenbrenner’s ecological systems framework foregrounds contextualized, institutionalized settings and multi-level social environments for development, aligning well with Gilly’s emphasis on socio-institutional and contextualized educational interactions.",context_sensitive_educational_psychology
J. L. Meece,J. L. Meece,1,80,103,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Meece’s work centers on students’ interest, motivation and the self-system in classroom settings and is typically applied motivational research brought into educational contexts rather than a mediation/interactional tradition.",context_sensitive_educational_psychology
K. Salmela-Aro,K. Salmela-Aro,1,79,234,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Salmela-Aro researches student well‑being, engagement and achievement within social contexts, making her work context-sensitive and educationally situated though not primarily part of Gilly’s interactional mediation tradition.",context_sensitive_educational_psychology
J. A. Fredricks,J. A. Fredricks,1,79,112,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Fredricks is best known for student engagement research (behavioral, emotional, cognitive) that situates motivational constructs in classroom contexts, linking to Gilly’s contextual concerns but stemming from engagement/motivation traditions.",context_sensitive_educational_psychology
E. A. Skinner,E. A. Skinner,1,78,133,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"E. A. Skinner’s work on coping, motivation and self-regulation in school contexts emphasizes students’ agency and emotional processes in situ, making it context-sensitive but primarily motivational rather than interactional/institutional theory.",context_sensitive_educational_psychology
R. P. Perry,R. P. Perry,1,77,187,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Perry’s research on attributions, value orientations and emotions in achievement settings fits within motivation and emotion traditions that attend to context but do not constitute the mediation/interactional lineage central to Gilly.",context_sensitive_educational_psychology
Y. Wang,Y. Wang,1,77,111,motivation_self_regulation_identity,bridge_contextual,0.6,openai,"The citing patterns (teacher–student relationships, self‑efficacy, mastery goals, metacognition) point to a focus on motivation, self‑regulation and contextualized academic engagement rather than a single interactional theoretical school.",context_sensitive_educational_psychology
L. Verschaffel,L. Verschaffel,1,75,484,didactics_classroom_knowledge_practices,fundamental,0.85,openai,"Verschaffel’s extensive work on mathematics learning, classroom tasks, prior knowledge and instructional design places him in didactics and situated classroom practice traditions that resonate with Gilly’s focus on contextualized educational interactions.",context_sensitive_educational_psychology
R. S. Siegler,R. S. Siegler,1,75,188,interactionist_constructivist_social_cognitive,applied_mainstream,0.7,openai,"Siegler’s developmental work on strategy change and microgenetic processes is post‑Piagetian and cognitive‑developmental, often applied to classroom learning tasks rather than to socio‑institutional interactional theory.",applied_psychology_in_education
F. Pajares,F. Pajares,1,75,141,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Pajares is central to self‑efficacy and motivational modelling in educational contexts, representing an applied motivational tradition rather than a mediation/interactional institutional perspective.",context_sensitive_educational_psychology
W. Doise,W. Doise,1,75,120,interactionist_constructivist_social_cognitive,fundamental,0.96,seed,Central source for socio-cognitive conflict and social regulation of cognitive development.,fundamental_contextualized_educational_interaction
M. Wang,M. Wang,1,75,109,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"M. Wang’s publications on test motivation, teacher efficacy, metacognition and engagement suggest a focus on motivational and self‑regulatory processes embedded in classroom contexts, connecting to but not deriving from Gilly’s interactional lineage.",context_sensitive_educational_psychology
J. Eccles,J. Eccles,1,75,92,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Eccles’ expectancy‑value framework situates motivation and task value within social and developmental contexts, making her work highly relevant to contextualized educational phenomena though distinct from Vygotskian mediation traditions.",context_sensitive_educational_psychology
M. Kunter,M. Kunter,1,74,177,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"Kunter’s research on teachers’ diagnostic skills, pedagogical beliefs and pedagogical content knowledge places her within didactics and classroom practice traditions that are contextually oriented but not strictly Gilly’s interactional theoretical lineage.",context_sensitive_educational_psychology
M. Bong,M. Bong,1,74,115,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"Bong’s work on academic self‑concept, frame‑of‑reference effects and motivation integrates self‑evaluation and achievement contexts, aligning with context‑sensitive motivational research rather than core interactional/institutional theory.",context_sensitive_educational_psychology
J. H. Flavell,J. H. Flavell,1,74,107,interactionist_constructivist_social_cognitive,bridge_contextual,0.65,openai,Flavell’s foundational metacognition and developmental cognition work fits a constructivist developmental lineage that informs classroom metacognitive practice and contextual studies but is not primarily a socio‑institutional interactional school.,context_sensitive_educational_psychology
M. Vansteenkiste,M. Vansteenkiste,1,73,211,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Vansteenkiste’s research on Self‑Determination Theory and value/conflict in learning situates motivation and self‑regulation within social contexts, making it a context‑sensitive motivational lineage rather than a mediation/interactional institutional tradition.",context_sensitive_educational_psychology
B. Weiner,B. Weiner,1,73,197,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Weiner’s attribution theory has been widely applied to educational achievement and emotion research, representing an attributional/motivational tradition that is frequently imported into classroom studies rather than a socio‑institutional interactional school.",context_sensitive_educational_psychology
S. Harter,S. Harter,1,73,114,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Harter’s work on self‑perceptions, competence and motivation in children emphasizes development in social contexts and classroom experiences, making it contextually relevant though rooted in self‑concept traditions.",context_sensitive_educational_psychology
A. F. Hayes,A. F. Hayes,1,72,89,psychometrics_measurement_statistics,methodological,0.95,openai,Hayes is primarily a methodological source (mediation/moderation/process models) whose work is cited for statistical and analytic techniques rather than theoretical interactional accounts.,context_sensitive_educational_psychology
J. Lee,J. Lee,1,72,84,motivation_self_regulation_identity,bridge_contextual,0.6,openai,"The citing evidence mixes self‑esteem, emotion regulation and some measurement work, suggesting a focus on motivational/self‑evaluation constructs within contextual educational settings rather than a single interactional theoretical school.",context_sensitive_educational_psychology
J. Reeve,J. Reeve,1,71,218,motivation_self_regulation_identity,bridge_contextual,0.9,openai,Reeve’s work is central to self-determination theory and classroom autonomy-support (motivation and self-regulation); it's clearly context-sensitive but not primarily in the interaction/mediation tradition Gilly foregrounds.,context_sensitive_educational_psychology
K. Aunola,K. Aunola,1,71,151,sociocultural_dialogic_activity,fundamental,0.8,openai,"Aunola’s cited work emphasizes parental/teacher scaffolding, multimodal parent–child interaction and classroom organization — aligning with sociocultural mediation and interactional study of learning.",context_sensitive_educational_psychology
K. Murayama,K. Murayama,1,71,99,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Murayama’s publications focus on achievement goals, achievement emotions and self-regulatory processes in schools, making him a motivation/self-regulation lineage figure with contextual applications.",context_sensitive_educational_psychology
J. Wang,J. Wang,1,71,97,psychometrics_measurement_statistics,methodological,0.8,openai,"The cited pattern highlights Wang’s role in instrument adaptation and validation (MSLQ-CV, TIMSS self-concept), indicating a measurement/statistical lineage.",context_sensitive_educational_psychology
R. B. Kline,R. B. Kline,1,71,76,psychometrics_measurement_statistics,methodological,0.95,openai,"Kline is primarily referenced for SEM and measurement guidance (textbook/methods), placing him in the statistical/methodological tradition.",context_sensitive_educational_psychology
W. Kintsch,W. Kintsch,1,69,121,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,Kintsch’s influential cognitive theory of text comprehension and knowledge representation situates him in cognitive/achievement research with instructional implications rather than interactional sociology of classrooms.,context_sensitive_educational_psychology
B. Rogoff,B. Rogoff,1,69,100,sociocultural_dialogic_activity,fundamental,0.92,seed,Major source for guided participation and sociocultural development.,fundamental_contextualized_educational_interaction
F. Dochy,F. Dochy,1,68,225,psychometrics_measurement_statistics,methodological,0.8,openai,"Dochy’s cited work centers on assessment quality, validation and the relation between approaches to learning and assessment, indicating an assessment/methods lineage.",context_sensitive_educational_psychology
J. P. Connell,J. P. Connell,1,68,97,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"Connell’s work on control, autonomy, the self-system and school motivation links him to motivation and identity traditions that engage contextual classroom variables without being primarily interactionist.",context_sensitive_educational_psychology
B. Muthen,B. Muthen,1,66,95,psychometrics_measurement_statistics,methodological,0.95,openai,"Muthén is cited for latent variable modelling and software (Mplus/mixture modelling), clearly placing him in the measurement/statistics tradition.",context_sensitive_educational_psychology
B. M. Byrne,B. M. Byrne,1,66,78,psychometrics_measurement_statistics,methodological,0.95,openai,"Byrne is primarily referenced for SEM methods and model testing, indicating a strong methodological/measurement lineage.",context_sensitive_educational_psychology
P. C. Blumenfeld,P. C. Blumenfeld,1,66,68,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Blumenfeld’s work on engagement, interest and project-based learning links motivation and classroom practices, situating him in motivation/self-regulation with instructional relevance.",context_sensitive_educational_psychology
R. C. Pianta,R. C. Pianta,1,65,151,developmental_family_peer_ecological,fundamental,0.85,openai,"Pianta’s research on teacher–child relationships and classroom interaction foregrounds relational and contextual processes in development, aligning closely with Gilly’s interactional, situational emphasis.",context_sensitive_educational_psychology
R. J. Vallerand,R. J. Vallerand,1,65,136,motivation_self_regulation_identity,bridge_contextual,0.9,openai,Vallerand’s work on intrinsic/extrinsic motivation and motivational climates is squarely in the motivation tradition applied to educational contexts rather than an interactional institutional theory.,context_sensitive_educational_psychology
R. Saljo,R. Saljo,1,65,102,sociocultural_dialogic_activity,fundamental,0.9,openai,"Säljö’s sociocultural analyses of learning, task contexts and the social mediation of cognition situate him in the cultural-historical/dialogic activity tradition central to Gilly’s project.",context_sensitive_educational_psychology
L. T. Hu,L. T. Hu,1,65,70,psychometrics_measurement_statistics,methodological,0.85,openai,"Hu is cited in fit-index and measurement/adaptation work (e.g., questionnaire adaptation and validation), indicating a statistical/methodological lineage.",context_sensitive_educational_psychology
J. Sweller,J. Sweller,1,64,179,intervention_instructional_design,applied_mainstream,0.9,openai,Sweller’s cognitive load theory and worked-example research are foundational to instructional design and applied teaching interventions rather than interactional socio-institutional analysis.,context_sensitive_educational_psychology
A. Kaplan,A. Kaplan,1,64,92,educational_policy_sociology_comparative,policy_context,0.8,openai,"Kaplan is cited for large-scale assessment and policy-oriented critiques as well as family/parental influence on schooling, placing him in policy/sociology and comparative assessment traditions.",context_sensitive_educational_psychology
K. J. Preacher,K. J. Preacher,1,64,73,psychometrics_measurement_statistics,methodological,0.8,openai,"Preacher is well known for mediation/moderation methods and statistical tools used in many EJPE studies, indicating a methodological/statistical orientation.",context_sensitive_educational_psychology
J. Nurmi,J. Nurmi,1,63,188,developmental_family_peer_ecological,bridge_contextual,0.85,openai,"Nurmi’s research on family atmosphere, parenting and adolescent future orientation roots him in developmental and ecological family research that informs educational context analyses.",context_sensitive_educational_psychology
R. B. King,R. B. King,1,63,167,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"King’s work on self-control, achievement goals and emotions connects to motivation and self-regulation literatures applied to educational outcomes rather than an interactionist institutional approach.",context_sensitive_educational_psychology
K. R. Wentzel,K. R. Wentzel,1,63,112,developmental_family_peer_ecological,bridge_contextual,0.85,openai,"Wentzel's EJPE citations focus on peer relationships, parental styles and social networks shaping school adjustment and engagement, aligning her work with developmental and family/peer ecological traditions rather than purely cognitive or measurement traditions.",context_sensitive_educational_psychology
K. E. Barron,K. E. Barron,1,63,91,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Barron's cited work in EJPE centers on test motivation, goal orientations and coping/self-regulated learning, placing her in motivation and self-regulation traditions that are often applied to classroom outcomes.",context_sensitive_educational_psychology
D. A. Kenny,D. A. Kenny,1,62,74,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Kenny's EJPE-cited studies emphasize parental beliefs, family support and peer relations influencing development and achievement, locating him in developmental and family/peer ecological lines relevant to contextualized educational situations.",context_sensitive_educational_psychology
L. K. Muthen,L. K. Muthen,1,62,65,psychometrics_measurement_statistics,methodological,0.95,openai,"Muthén is cited in EJPE for factorial invariance and measurement contributions (Mplus/latent modeling), clearly situating her in psychometrics and measurement-methods traditions.",context_sensitive_educational_psychology
M. Pressley,M. Pressley,1,61,122,individual_differences_cognitive_achievement,bridge_contextual,0.8,openai,"Pressley's EJPE citations concern metacognition, strategy use and reading/learning processes, which align him with cognitive and achievement-focused educational psychology applied to classroom instruction.",context_sensitive_educational_psychology
M. T. H. Chi,M. T. H. Chi,1,61,91,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,"Chi's work cited in EJPE deals with cognitive and metacognitive components of learning, scripts and problem solving—classic cognitive-science contributions applied to educational tasks.",context_sensitive_educational_psychology
J. S. Bruner,J. S. Bruner,1,61,83,sociocultural_dialogic_activity,fundamental,0.95,openai,"Bruner's EJPE-cited corpus addresses culture, early interaction, scaffolding and contextualized concept learning, placing him squarely in sociocultural and dialogic activity traditions that resonate with Gilly's fundamental project.",fundamental_contextualized_educational_interaction
C. A. Wolters,C. A. Wolters,1,61,78,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Wolters is cited for self-regulation, motivation and parent–child regulation in learning contexts, tying him to self-regulation and motivational traditions examined within classroom and family settings.",context_sensitive_educational_psychology
X. Wang,X. Wang,1,60,91,intervention_instructional_design,applied_mainstream,0.6,openai,"The EJPE examples for Wang include technology-supported literacy tools (GraphoGame), formative peer assessment and applied experimental studies, suggesting an orientation toward instructional interventions and design.",context_sensitive_educational_psychology
B. Nagengast,B. Nagengast,1,60,77,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Nagengast's citations in EJPE concern academic self-concept, teacher efficacy and classroom interventions to promote self-determined motivation, locating him in motivation and identity work with contextual classroom links.",context_sensitive_educational_psychology
Y. Liu,Y. Liu,1,60,76,individual_differences_cognitive_achievement,bridge_contextual,0.75,openai,"Liu's EJPE-cited studies examine number identification, strategy use and effects of task features on arithmetic—typical cognitive-achievement research applied to classroom tasks and assessment.",context_sensitive_educational_psychology
Y. Li,Y. Li,1,60,72,didactics_classroom_knowledge_practices,bridge_contextual,0.7,openai,"Li's EJPE citations focus on how students approach division problems, teachers' reflections on PISA items and beliefs about knowledge across educational contexts, indicating a didactics and classroom-practices orientation.",context_sensitive_educational_psychology
F. Marton,F. Marton,1,59,121,didactics_classroom_knowledge_practices,fundamental,0.9,openai,"Marton's EJPE-cited work on learning conceptions, variation/phenomenography and formal settings as contexts for cognition places him in didactics and classroom knowledge traditions closely aligned with Gilly's contextualized interactional emphasis.",context_sensitive_educational_psychology
B. Spinath,B. Spinath,1,59,96,individual_differences_cognitive_achievement,applied_mainstream,0.8,openai,"Spinath's EJPE-cited studies address working memory, nonverbal intelligence and predictors of academic performance, marking him as part of individual-differences and cognitive-achievement research applied to schooling.",context_sensitive_educational_psychology
UNESCO,UNESCO,1,59,67,corporate_data_policy_source,policy_context,0.98,openai,"UNESCO is cited as an institutional policy/data source in EJPE (inclusion, educational policy and ecosystemic approaches), clearly fitting a corporate/policy source category rather than an individual theoretical lineage.",context_sensitive_educational_psychology
E. M. Skaalvik,E. M. Skaalvik,1,58,90,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Skaalvik's EJPE citations concern academic self-evaluations, self-concept and their relations to motivation and achievement, situating her in motivation and identity traditions studied in educational contexts.",context_sensitive_educational_psychology
F. Carugati,F. Carugati,1,57,125,social_representations_institutional_context,fundamental,0.92,seed,"Important source for social representations, educational institutions, and knowledge in context.",context_sensitive_educational_psychology
M. Brunner,M. Brunner,1,57,84,didactics_classroom_knowledge_practices,bridge_contextual,0.7,openai,"Brunner's EJPE-cited work on metacognitive knowledge, teacher diagnostic skills and mental model construction suggests a focus on classroom practices and instructional design/didactics.",context_sensitive_educational_psychology
A. Krapp,A. Krapp,1,55,111,motivation_self_regulation_identity,fundamental,0.85,openai,"Krapp's EJPE-cited research on interest, motivated learning and student–situation transactional units connects motivation research with a situational, contextualized perspective compatible with Gilly's fundamental interactional concerns.",context_sensitive_educational_psychology
P. A. Alexander,P. A. Alexander,1,55,100,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Alexander's EJPE citations on prior knowledge, process-oriented instruction and learning from worked examples point to a focus on instructional methods and classroom knowledge construction (didactics).",context_sensitive_educational_psychology
G. Schraw,G. Schraw,1,55,76,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,"Schraw's EJPE-cited contributions concern metacognitive knowledge, learning processes and effects of instructional formats, placing him in cognitive/metacognitive traditions applied in educational contexts.",context_sensitive_educational_psychology
R. Glaser,R. Glaser,1,55,69,didactics_classroom_knowledge_practices,applied_mainstream,0.7,openai,"Glaser's cited work emphasizes instructional processes, concept-referenced testing and domain-specific teaching strategies (inductive reasoning, scripts, task formulations), situating him in classroom-centred cognitive instruction rather than Vygotskian or institutional traditions.",context_sensitive_educational_psychology
N. Mcelvany,N. Mcelvany,1,54,163,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"McElvany's citations focus on reading instruction, teachers' diagnostic skills, pedagogical beliefs and family involvement, which link pedagogical practice and classroom knowledge construction without being primarily interaction-theory founders.",context_sensitive_educational_psychology
R. Steinmayr,R. Steinmayr,1,54,112,motivation_self_regulation_identity,applied_mainstream,0.75,openai,"Steinmayr's cited contributions centre on personality, motivation, goal orientations and their ties to achievement and learning approaches—typical of motivation and self-regulation traditions applied to schooling.",context_sensitive_educational_psychology
Y. Zhang,Y. Zhang,1,54,76,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"Zhang's work appears across mastery goals, engagement, peer assessment and attitudes toward cooperative learning, grounding her in motivation and self-regulation research as it applies to classroom contexts.",context_sensitive_educational_psychology
R. W. Roeser,R. W. Roeser,1,54,63,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Roeser's cited studies link socioemotional, familial and teacher influences on students' motivation and adjustment, placing him in developmental and ecological approaches to school mental health and adaptation.",context_sensitive_educational_psychology
M. Fayol,M. Fayol,1,53,147,didactics_classroom_knowledge_practices,applied_mainstream,0.8,openai,"Fayol's research on written text production, punctuation/connectives and computer-supported individualized learning situates him in classroom literacy/didactics and the practical study of reading/writing development.",applied_psychology_in_education
B. Soenens,B. Soenens,1,53,127,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Soenens' cited corpus on parenting, perceived legitimacy of control, academic adjustment and study persistence ties directly to self-determination and identity-informed motivation theories in educational contexts.",context_sensitive_educational_psychology
J. S. Hyde,J. S. Hyde,1,53,73,individual_differences_cognitive_achievement,applied_mainstream,0.8,openai,"Hyde's cited work on gender differences, spatial ability, and cognitive correlates of achievement reflects an individual-differences tradition examining cognitive aptitudes and their educational consequences.",context_sensitive_educational_psychology
I. Braten,I. Braten,1,52,175,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"Bråten's research on text comprehension, multiple-document processing, metacognition and assessment methods aligns with classroom literacy instruction and epistemic practices in learning environments.",context_sensitive_educational_psychology
E. Skinner,E. Skinner,1,52,62,sociocultural_dialogic_activity,fundamental,0.7,openai,"Skinner's cited studies on parental scaffolding, dyadic interaction and classroom-engagement interventions reflect mediated action and scaffolding traditions central to Vygotskian/dialogic approaches, closely matching Gilly's interactional focus.",context_sensitive_educational_psychology
