topic,topic_label,orientation_category,orientation_label,n,topic_total,share_percent
4,"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",context_sensitive_educational_psychology,Context-sensitive educational psychology,1,100,1.0
4,"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",fundamental_educational_interaction,Fundamental educational interaction,47,100,47.0
4,"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",methodological_measurement_contribution,Methodological or measurement contribution,5,100,5.0
4,"How task language, cognitive resources, and strategy choice shape children’s arithmetic problem solving",unclear,Unclear,4,100,4.0
5,"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",applied_psychology_in_education,Applied psychology in education,23,54,42.592592592592595
5,"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",context_sensitive_educational_psychology,Context-sensitive educational psychology,2,54,3.7037037037037033
5,"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",fundamental_educational_interaction,Fundamental educational interaction,26,54,48.148148148148145
5,"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",methodological_measurement_contribution,Methodological or measurement contribution,1,54,1.8518518518518516
5,"Feedback, Peer Assessment, and the Regulation of Learning: How scaffolds, roles, and social cues shape feedback quality and uptake",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,2,54,3.7037037037037033
6,Social ecology of school bullying and adolescent adjustment,applied_psychology_in_education,Applied psychology in education,17,31,54.83870967741935
6,Social ecology of school bullying and adolescent adjustment,context_sensitive_educational_psychology,Context-sensitive educational psychology,6,31,19.35483870967742
6,Social ecology of school bullying and adolescent adjustment,fundamental_educational_interaction,Fundamental educational interaction,8,31,25.806451612903224
7,"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",applied_psychology_in_education,Applied psychology in education,30,38,78.94736842105263
7,"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",context_sensitive_educational_psychology,Context-sensitive educational psychology,3,38,7.894736842105263
7,"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",fundamental_educational_interaction,Fundamental educational interaction,4,38,10.526315789473683
7,"Gender, stereotypes and STEM: psychological mechanisms shaping performance, interest and persistence",methodological_measurement_contribution,Methodological or measurement contribution,1,38,2.631578947368421
8,"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",applied_psychology_in_education,Applied psychology in education,14,28,50.0
8,"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",context_sensitive_educational_psychology,Context-sensitive educational psychology,2,28,7.142857142857142
8,"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",fundamental_educational_interaction,Fundamental educational interaction,8,28,28.57142857142857
8,"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",methodological_measurement_contribution,Methodological or measurement contribution,1,28,3.571428571428571
8,"Authenticity, prior beliefs, and epistemic processing in classroom and simulation settings",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,3,28,10.714285714285714
9,"Values in education and vocational development: formation, transmission, and consequences",applied_psychology_in_education,Applied psychology in education,13,24,54.166666666666664
9,"Values in education and vocational development: formation, transmission, and consequences",context_sensitive_educational_psychology,Context-sensitive educational psychology,4,24,16.666666666666664
9,"Values in education and vocational development: formation, transmission, and consequences",fundamental_educational_interaction,Fundamental educational interaction,5,24,20.833333333333336
9,"Values in education and vocational development: formation, transmission, and consequences",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,2,24,8.333333333333332
10,Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),applied_psychology_in_education,Applied psychology in education,1,20,5.0
10,Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),context_sensitive_educational_psychology,Context-sensitive educational psychology,2,20,10.0
10,Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),fundamental_educational_interaction,Fundamental educational interaction,6,20,30.0
10,Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),methodological_measurement_contribution,Methodological or measurement contribution,3,20,15.0
10,Cluster summary: Measuring and understanding quality in European early childhood education and care (ECEC),unclear,Unclear,8,20,40.0
11,"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",context_sensitive_educational_psychology,Context-sensitive educational psychology,2,16,12.5
11,"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",fundamental_educational_interaction,Fundamental educational interaction,12,16,75.0
11,"Paternal Roles, Play and Positioning: How Fathers Shape Early Social and Cognitive Development",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,2,16,12.5
12,"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",applied_psychology_in_education,Applied psychology in education,19,26,73.07692307692307
12,"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",fundamental_educational_interaction,Fundamental educational interaction,5,26,19.230769230769234
12,"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",methodological_measurement_contribution,Methodological or measurement contribution,1,26,3.8461538461538463
12,"Group-based school interventions for social‑emotional, behavioural and early cognitive skills",unclear,Unclear,1,26,3.8461538461538463
13,"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",applied_psychology_in_education,Applied psychology in education,2,12,16.666666666666664
13,"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",context_sensitive_educational_psychology,Context-sensitive educational psychology,4,12,33.33333333333333
13,"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",fundamental_educational_interaction,Fundamental educational interaction,4,12,33.33333333333333
13,"Cluster summary: Inclusive education — policies, cultures, and teacher factors across contexts",theoretical_reflexive_psychology_of_education,Theoretical/reflexive psychology of education,2,12,16.666666666666664
